Date,NAV_Per_Share,Market_Price,Premium_Discount_Pct
2025-11-14,73.8,73.78,-0.027100271002704637
2025-11-13,76.79,76.68,-0.14324781872639591
2025-11-12,79.48,79.49,0.012581781580260323
2025-11-11,80.45,80.47,0.0248601615910454
2025-11-10,83.0,83.05,0.060240963855418266
2025-11-07,81.25,81.3,0.06153846153845804
2025-11-06,78.99,78.98,-0.012659830358261685
2025-11-05,81.35,81.35,0.0
2025-11-04,78.86,78.87,0.012680699974645089
2025-11-03,83.52,83.5,-0.023946360153251942
2025-10-31,85.99,86.02,0.03488777764856511
2025-10-30,83.43,83.34,-0.10787486515642264
2025-10-29,86.68,86.66,-0.023073373327192236
2025-10-28,89.08,89.02,-0.06735518634935145
2025-10-27,90.03,90.09,0.06664445184938607
2025-10-24,86.67,86.69,0.023076035537090134
2025-10-23,86.41,86.42,0.011572734637200691
2025-10-22,84.52,84.5,-0.023663038334117394
2025-10-21,87.65,87.64,-0.011409013120370924
2025-10-20,86.88,86.89,0.01151012891344972
2025-10-17,83.46,83.46,0.0
2025-10-16,84.84,84.8,-0.047147571900054516
2025-10-15,87.27,87.23,-0.0458347656697514
2025-10-14,88.33,88.29,-0.04528472772556554
2025-10-13,90.87,90.86,-0.011004732034780583
2025-10-10,91.46,91.42,-0.04373496610539257
2025-10-09,94.89,94.9,0.010538518284334615
2025-10-08,96.83,96.78,-0.051636889393779986
2025-10-07,95.4,95.37,-0.03144654088050434
2025-10-06,98.4,98.43,0.030487804878049935
2025-10-03,96.27,96.36,0.09348706762231579
2025-10-02,94.85,94.93,0.08434370057987613
2025-10-01,92.15,92.2,0.05425935973955198
2025-09-30,89.73,89.77,0.04457817898137974
2025-09-29,89.71,89.73,0.022294058633385613
2025-09-26,85.7,85.65,-0.05834305717619271
2025-09-25,85.8,85.76,-0.046620046620037346
2025-09-24,89.02,89.01,-0.011233430689722428
2025-09-23,87.62,87.58,-0.04565167769916258
2025-09-22,88.03,87.98,-0.056798818584570206
2025-09-19,90.37,90.34,-0.03319685736417079
2025-09-18,92.22,92.24,0.021687269572756476
2025-09-17,90.79,90.79,0.0
2025-09-16,91.68,91.73,0.054537521815005624
2025-09-15,90.51,90.49,-0.022097005855717854
2025-09-12,91.66,91.75,0.09818895919703624
2025-09-11,89.86,89.92,0.06677053193857364
2025-09-10,89.19,89.22,0.03363605785402078
2025-09-09,87.4,87.42,0.022883295194503453
2025-09-08,87.99,88.04,0.056824639163554236
2025-09-05,87.64,87.66,0.0228206298493793
2025-09-04,86.22,86.23,0.011598237067971601
2025-09-03,88.15,88.16,0.011344299489496204
2025-09-02,87.0,87.02,0.022988505747121864
2025-08-29,84.99,84.99,0.0
2025-08-28,87.91,87.95,0.045501080650672564
2025-08-27,88.05,88.07,0.022714366837019898
2025-08-26,87.3,87.31,0.01145475372280082
2025-08-25,86.95,87.02,0.08050603795283862
2025-08-22,91.65,91.73,0.08728859792689393
2025-08-21,88.11,88.1,-0.01134944955170255
2025-08-20,89.79,89.79,0.0
2025-08-19,88.87,88.83,-0.04500956453247018
2025-08-18,91.43,91.39,-0.04374931641693782
2025-08-15,91.93,91.9,-0.03263352550854034
2025-08-14,92.74,92.75,0.010782833728709421
2025-08-13,96.51,96.6,0.09325458501708547
2025-08-12,94.06,94.06,0.0
2025-08-11,93.59,93.59,0.0
2025-08-08,91.57,91.58,0.010920607185765116
2025-08-07,92.39,92.44,0.05411841108344752
2025-08-06,90.63,90.68,0.05516936996580754
2025-08-05,89.32,89.38,0.06717420510524215
2025-08-04,90.21,90.23,0.022170491076388688
2025-08-01,89.06,88.89,-0.19088255108915528
2025-07-31,91.82,91.78,-0.043563493792193465
2025-07-30,91.95,91.88,-0.07612833061447241
2025-07-29,92.4,92.38,-0.02164502164503272
2025-07-28,92.85,92.88,0.03231017770597861
2025-07-25,91.82,91.87,0.054454367240265054
2025-07-24,93.62,93.68,0.06408886989959653
2025-07-23,93.15,93.16,0.01073537305420387
2025-07-22,93.88,93.9,0.021303792075000248
2025-07-21,91.86,91.84,-0.02177226213803181
2025-07-18,92.37,92.36,-0.010826025765946861
2025-07-17,93.62,93.66,0.04272591326638757
2025-07-16,93.9,93.9,0.0
2025-07-15,91.59,91.63,0.0436728900534906
2025-07-14,94.37,94.38,0.010596587898686982
2025-07-11,93.0,93.04,0.04301075268817876
2025-07-10,89.26,89.3,0.044812906116952766
2025-07-09,87.94,88.08,0.15919945417330064
2025-07-08,85.64,85.64,0.0
2025-07-07,85.05,85.04,-0.011757789535556621
2025-07-03,86.47,86.07,-0.46258818087198533
2025-07-02,86.4,86.43,0.034722222222223535
2025-07-01,82.99,82.96,-0.03614893360645998
2025-06-30,84.86,84.83,-0.03535234503888892
2025-06-27,84.16,84.16,0.0
2025-06-26,84.71,84.75,0.047219926809120835
2025-06-25,84.9,84.89,-0.011778563015318157
2025-06-24,83.25,83.24,-0.012012012012018158
2025-06-23,81.29,81.3,0.012301636117592453
2025-06-20,81.42,81.33,-0.11053795136330559
2025-06-18,81.78,81.76,-0.024455857177789215
2025-06-17,82.49,82.5,0.01212268153716222
2025-06-16,85.61,85.65,0.04672351360823064
2025-06-13,82.84,82.83,-0.012071463061329208
2025-06-12,84.17,84.19,0.02376143519068079
2025-06-11,85.71,85.77,0.0700035001750114
2025-06-10,86.33,86.35,0.023166917641603176
2025-06-09,85.63,85.67,0.046712600724052616
2025-06-06,82.21,82.23,0.024327940639837287
2025-06-05,80.31,80.25,-0.07471049682480672
2025-06-04,82.75,82.72,-0.03625377643504669
2025-06-03,83.79,83.8,0.01193459840075296
2025-06-02,82.36,82.35,-0.012141816415742007
2025-05-30,82.48,82.47,-0.012124151309414544
2025-05-29,83.36,83.26,-0.11996161228406228
2025-05-28,84.34,84.31,-0.035570310647381
2025-05-27,86.67,86.67,0.0
2025-05-23,85.74,85.76,0.023326335432715457
2025-05-22,87.71,87.72,0.011401208528109812
2025-05-21,85.7,85.73,0.03500583430571895
2025-05-20,84.43,84.49,0.07106478739783023
2025-05-19,83.26,83.24,-0.02402113860198202
2025-05-16,82.09,82.13,0.048727006943588794
2025-05-15,81.38,81.38,0.0
2025-05-14,81.49,81.52,0.036814333047001026
2025-05-13,82.71,82.73,0.02418087292952513
2025-05-12,80.33,80.33,0.0
2025-05-09,81.45,81.47,0.024554941682008617
2025-05-08,79.94,79.98,0.05003752814611741
2025-05-07,75.91,75.9,-0.013173494928192472
2025-05-06,74.93,74.93,0.0
2025-05-05,74.42,74.42,0.0
2025-05-02,76.55,76.55,0.0
2025-05-01,76.22,76.22,0.0
2025-04-30,74.32,74.27,-0.06727664155005
2025-04-29,75.25,75.25,0.0
2025-04-28,74.84,74.81,-0.04008551576697105
2025-04-25,75.33,75.34,0.013274923669195693
2025-04-24,73.91,73.92,0.013529968881078496
2025-04-23,73.87,73.84,-0.04061188574522964
2025-04-22,72.29,72.29,0.0
2025-04-21,69.06,69.06,0.0
2025-04-17,67.03,67.09,0.08951215873489822
2025-04-16,66.61,66.62,0.015012760846727391
2025-04-15,66.35,66.38,0.04521477015825341
2025-04-14,67.06,67.12,0.08947211452430998
2025-04-11,66.21,66.27,0.0906207521522463
2025-04-10,62.86,62.82,-0.06363347120585293
2025-04-09,65.01,65.04,0.046146746654362615
2025-04-08,60.63,60.61,-0.03298697014679717
2025-04-07,61.67,61.59,-0.12972271769093285
2025-04-04,66.35,66.32,-0.04521477015825341
2025-04-03,64.73,64.76,0.046346361810599625
2025-04-02,68.7,68.7,0.0
2025-04-01,67.13,67.16,0.04468940861016109
2025-03-31,65.12,65.17,0.0767813267813224
2025-03-28,66.17,66.18,0.01511258878646685
2025-03-27,68.79,68.8,0.014536996656477546
2025-03-26,68.42,68.41,-0.014615609470922416
2025-03-25,69.68,69.72,0.057405281285866874
2025-03-24,69.82,69.77,-0.07161271841878711
2025-03-21,66.36,66.32,-0.0602772754671583
2025-03-20,66.51,66.5,-0.015035333032634364
2025-03-19,67.57,67.59,0.029598934438375364
2025-03-18,65.05,65.08,0.046118370484244636
2025-03-17,66.79,66.81,0.029944602485396044
2025-03-14,66.89,66.95,0.08969950665271681
2025-03-13,63.38,63.38,0.0
2025-03-12,65.58,65.57,-0.015248551387625977
2025-03-11,65.73,65.7,-0.045641259698769414
2025-03-10,62.41,62.43,0.03204614645089429
2025-03-07,68.79,68.79,0.0
2025-03-06,70.43,70.44,0.014198494959521375
2025-03-05,71.59,71.56,-0.041905294035481405
2025-03-04,68.68,68.74,0.08736167734418762
2025-03-03,67.99,68.03,0.05883218120312731
2025-02-28,66.55,66.61,0.09015777610819276
2025-02-27,65.99,65.95,-0.06061524473403855
2025-02-26,66.64,66.71,0.10504201680671245
2025-02-25,69.62,69.62,0.0
2025-02-24,74.38,74.34,-0.05377789728420549
2025-02-21,75.1,75.06,-0.05326231691077502
2025-02-20,77.97,78.01,0.05130178273695813
2025-02-19,76.1,76.08,-0.026281208935605812
2025-02-18,74.52,74.48,-0.05367686527105749
2025-02-14,76.97,77.01,0.051968299337412316
2025-02-13,76.23,76.22,-0.013118194936383465
2025-02-12,76.85,76.8,-0.06506180871827867
2025-02-11,75.44,75.4,-0.05302226935311777
2025-02-10,77.1,77.09,-0.012970168612180163
2025-02-07,75.83,75.85,0.0263747857048609
2025-02-06,76.74,76.78,0.05212405525150672
2025-02-05,77.08,77.08,0.0
2025-02-04,78.16,78.19,0.038382804503583855
2025-02-03,80.19,80.17,-0.02494076568150146
2025-01-31,80.51,80.41,-0.12420817289778725
2025-01-30,83.1,83.18,0.09626955475332433
2025-01-29,82.57,82.58,0.012110936175372553
2025-01-28,80.18,80.17,-0.01247193813919321
2025-01-27,80.35,80.25,-0.12445550715618459
2025-01-24,83.05,83.17,0.14449127031909037
2025-01-23,81.88,81.9,0.02442598925257723
2025-01-22,82.63,82.7,0.08471499455404502
2025-01-21,84.11,84.12,0.011889192723820136
2025-01-17,83.04,83.05,0.012042389210008315
2025-01-16,79.51,79.56,0.0628851716765151
2025-01-15,78.97,78.97,0.0
2025-01-14,76.5,76.47,-0.03921568627451129
2025-01-13,74.17,74.16,-0.013482540110563726
2025-01-10,75.06,75.08,0.026645350386352278
2025-01-08,74.48,74.48,0.0
2025-01-07,76.49,76.45,-0.052294417570913895
2025-01-06,81.09,81.04,-0.061659884079414425
2025-01-03,77.97,78.02,0.064127228421184
2025-01-02,77.12,77.21,0.116701244813264
2024-12-31,74.1,74.02,-0.10796221322536882
2024-12-30,74.72,74.65,-0.09368308351176817
2024-12-27,74.93,74.88,-0.06672894701723124
2024-12-26,75.73,75.76,0.039614419648753646
2024-12-24,77.15,78.45,1.6850291639662955
2024-12-23,73.82,73.71,-0.14901110810078494
2024-12-20,76.48,76.47,-0.01307531380753807
2024-12-19,76.4,76.32,-0.10471204188483312
2024-12-18,79.87,79.81,-0.07512207336922783
2024-12-17,84.71,84.71,0.0
2024-12-16,84.04,84.02,-0.023798191337470527
2024-12-13,80.73,80.77,0.04954787563482229
2024-12-12,79.35,79.41,0.07561436672968151
2024-12-11,80.52,80.51,-0.012419274714345388
2024-12-10,76.61,76.56,-0.0652656311186492
2024-12-09,76.36,76.33,-0.03928758512310259
2024-12-06,80.66,80.7,0.04959087527895643
2024-12-05,78.72,78.69,-0.03810975609756242
2024-12-04,78.59,78.69,0.12724265173685495
2024-12-03,75.98,75.95,-0.039484074756516364
2024-12-02,75.98,76.03,0.06580679126085438
2024-11-29,77.37,77.09,-0.3618973762440237
2024-11-27,76.75,76.82,0.09120521172637548
2024-11-26,72.27,72.17,-0.13837000138369215
2024-11-25,75.35,75.42,0.09289980092900782
2024-11-22,78.88,78.87,-0.012677484787006725
2024-11-21,78.13,78.05,-0.10239344681940138
2024-11-20,74.99,74.99,0.0
2024-11-19,73.58,73.58,0.0
2024-11-18,72.76,72.77,0.013743815283110094
2024-11-15,72.7,72.81,0.15130674002750952
2024-11-14,69.59,69.5,-0.12932892656991438
2024-11-13,71.37,71.31,-0.08406893652795609
2024-11-12,71.15,71.23,0.11243851018973758
2024-11-11,69.24,69.22,-0.028885037550543072
2024-11-08,61.04,61.05,0.016382699868935143
2024-11-07,60.91,60.88,-0.049252996223927155
2024-11-06,60.6,60.6,0.0
2024-11-05,55.21,55.17,-0.07245064299945508
2024-11-04,53.5,53.49,-0.01869158878504301
2024-11-01,55.08,55.01,-0.12708787218591192
2024-10-31,55.62,55.61,-0.01797914419273285
2024-10-30,57.11,57.08,-0.052530204867800974
2024-10-29,57.68,57.67,-0.017337031900135247
2024-10-28,55.34,55.38,0.07228044813877692
2024-10-25,53.07,53.09,0.03768607499529513
2024-10-24,54.26,54.32,0.11057869517140118
2024-10-23,52.78,52.83,0.09473285335353762
2024-10-22,53.66,53.64,-0.037271710771517
2024-10-21,53.88,53.89,0.01855976243503714
2024-10-18,54.6,54.6,0.0
2024-10-17,53.15,53.16,0.0188146754468448
2024-10-16,53.9,53.88,-0.037105751391458296
2024-10-15,53.29,53.3,0.0187652467629912
2024-10-14,52.46,52.48,0.038124285169645486
2024-10-11,50.2,50.27,0.13944223107569775
2024-10-10,47.49,47.49,0.0
2024-10-09,48.54,48.52,-0.04120313143798109
2024-10-08,49.52,49.52,0.0
2024-10-07,50.42,50.44,0.03966679888932174
2024-10-04,49.68,49.68,0.0
2024-10-03,48.59,48.58,-0.02058036633053121
2024-10-02,47.92,47.92,0.0
2024-10-01,49.14,49.12,-0.04070004070004706
2024-09-30,50.5,50.5,0.0
2024-09-27,52.31,52.31,0.0
2024-09-26,51.56,51.54,-0.03878975950349714
2024-09-25,50.29,50.3,0.019884668920258523
2024-09-24,51.23,51.23,0.0
2024-09-23,50.42,50.41,-0.01983339944467496
2024-09-20,50.05,50.03,-0.039960039960032015
2024-09-19,50.4,50.38,-0.03968253968253179
2024-09-18,47.85,47.79,-0.12539184952978533
2024-09-17,47.79,47.77,-0.04184975936387533
2024-09-16,46.12,46.14,0.04336513443192352
2024-09-13,47.6,47.64,0.08403361344537635
2024-09-12,46.52,46.53,0.021496130696470356
2024-09-11,45.94,45.9,-0.08707009142359415
2024-09-10,46.2,46.19,-0.02164502164503272
2024-09-09,45.52,45.51,-0.021968365553614047
2024-09-06,42.64,42.6,-0.09380863039399424
2024-09-05,44.65,44.66,0.02239641657334381
2024-09-04,46.28,46.25,-0.06482281763180886
2024-09-03,46.23,46.2,-0.06489292667097996
2024-08-30,46.82,46.75,-0.1495087569414786
2024-08-29,47.24,47.21,-0.06350550381033263
2024-08-28,46.94,46.94,0.0
2024-08-27,49.5,49.51,0.020202020202016183
2024-08-26,50.49,50.5,0.019805902158839393
2024-08-23,50.79,50.79,0.0
2024-08-22,48.07,48.06,-0.020802995631366776
2024-08-21,49.11,49.12,0.020362451639173308
2024-08-20,47.45,47.49,0.08429926238145236
2024-08-19,47.07,47.02,-0.10622477161673499
2024-08-16,47.65,47.63,-0.04197271773346489
2024-08-15,45.51,45.5,-0.02197319270489565
2024-08-14,47.0,46.99,-0.021276595744676618
2024-08-13,48.55,48.5,-0.10298661174046789
2024-08-12,47.1,47.1,0.0
2024-08-09,48.43,48.41,-0.041296716911012034
2024-08-08,47.39,47.43,0.0844059928254888
2024-08-07,43.69,43.67,-0.04577706569008016
2024-08-06,45.33,45.32,-0.022060445620997154
2024-08-05,42.66,42.62,-0.09376465072667406
2024-08-02,49.94,49.87,-0.14016820184221124
2024-08-01,50.59,50.53,-0.11860051393556487
2024-07-31,52.07,52.07,0.0
2024-07-30,52.57,52.6,0.05706676811870104
2024-07-29,59.66,59.68,0.0335232986925966
2024-07-26,60.33,60.33,0.0
2024-07-25,57.38,57.36,-0.03485535029627593
2024-07-24,58.26,58.23,-0.05149330587023882
2024-07-23,58.11,58.1,-0.017208742040953382
2024-07-22,60.55,60.56,0.016515276630892015
2024-07-19,59.66,59.68,0.0335232986925966
2024-07-18,56.36,56.4,0.07097232079488848
2024-07-17,57.3,57.33,0.05235602094241037
2024-07-16,57.86,57.85,-0.01728309713100244
2024-07-15,56.31,56.29,-0.03551767004085087
2024-07-12,51.13,51.14,0.01955798943868181
2024-07-11,50.94,50.9,-0.07852375343541254
2024-07-10,50.95,50.92,-0.058881256133466404
2024-07-09,51.36,51.35,-0.019470404984419803
2024-07-08,50.15,50.09,-0.1196410767696813
2024-07-05,50.13,50.15,0.03989626969877522
2024-07-03,52.93,53.66,1.3791800491214752
2024-07-02,54.88,54.89,0.018221574344019695
2024-07-01,56.15,56.09,-0.1068566340160199
2024-06-28,53.25,53.24,-0.01877934272300096
2024-06-27,54.48,54.52,0.07342143906021706
2024-06-26,54.13,54.13,0.0
2024-06-25,55.07,55.02,-0.09079353550026723
2024-06-24,52.58,52.61,0.05705591479650274
2024-06-21,57.01,57.04,0.052622346956676266
2024-06-20,57.72,57.73,0.01732501732501388
2024-06-18,57.19,57.18,-0.0174855744011156
2024-06-17,59.19,59.21,0.03378949146815868
2024-06-14,58.16,58.18,0.034387895460803175
2024-06-13,59.17,59.14,-0.05070136893696322
2024-06-12,60.05,59.95,-0.16652789342213875
2024-06-11,59.88,59.88,0.0
2024-06-10,61.78,61.73,-0.08093234056329598
2024-06-07,61.6,61.48,-0.19480519480520217
2024-06-06,62.62,62.63,0.015969338869378978
2024-06-05,63.39,63.35,-0.0631014355576576
2024-06-04,62.66,62.62,-0.06383657835939859
2024-06-03,61.47,61.51,0.06507239303725257
2024-05-31,60.06,60.09,0.04995004995005184
2024-05-30,61.03,61.04,0.016385384237257106
2024-05-29,59.74,59.71,-0.050217609641782956
2024-05-28,60.79,60.78,-0.01645007402532984
2024-05-24,61.55,61.53,-0.03249390739235747
2024-05-23,59.66,59.7,0.0670465973851932
2024-05-22,61.89,61.95,0.09694619486185534
2024-05-21,61.62,61.6,-0.032456994482304484
2024-05-20,62.32,62.4,0.12836970474967632
2024-05-17,59.64,59.73,0.15090543259556724
2024-05-16,57.98,58.02,0.06898930665747888
2024-05-15,58.8,58.82,0.03401360544218219
2024-05-14,54.77,54.78,0.01825817053130913
2024-05-13,56.17,56.19,0.03560619547800609
2024-05-10,53.95,53.99,0.0741427247451328
2024-05-09,55.58,55.57,-0.017992083483263782
2024-05-08,55.32,55.3,-0.03615328994939105
2024-05-07,56.1,56.11,0.017825311942955457
2024-05-06,56.24,56.24,0.0
2024-05-03,55.27,55.32,0.09046499004884595
